Offset,Column,Delta
2006,0,3265
5271,0,3266
8537,0,408
8945,0,306
9251,0,306
9557,0,306
9863,0,408
10271,0,409
10680,0,1122
11802,0,408
12210,0,306
12516,0,715
13231,0,408
13639,0,306
13945,0,510
14455,0,612
15067,0,511
15578,0,204
15782,0,306
16088,0,306
16394,0,408
16802,0,408
17210,0,510
17720,0,613
18333,0,510
18843,0,204
19047,0,306
19353,0,408
19761,0,408
20169,0,358
20527,0,153
20680,0,306
20986,0,306
21292,0,306
21598,0,408
22006,0,306
22312,0,306
22618,0,409
23027,0,408
23435,0,306
23741,0,714
24455,0,408
24863,0,1429
26292,0,204
26496,0,612
27108,0,306
27414,0,306
27720,0,409
28129,0,102
28231,0,306
28537,0,102
28639,0,306
28945,0,102
29047,0,510
29557,0,204
29761,0,102
29863,0,306
30169,0,204
30373,0,409
30782,0,204
30986,0,408
31394,0,102
31496,0,306
31802,0,102
31904,0,510
32414,0,408
32822,0,205
33027,0,102
33129,0,306
33435,0,102
33537,0,306
33843,0,816
34659,0,204
34863,0,102
34965,0,306
35271,0,102
35373,0,511
35884,0,204
36088,0,102
36190,0,306
36496,0,102
36598,0,306
36904,0,102
37006,0,306
37312,0,102
37414,0,511
37925,0,102
38027,0,306
38333,0,102
38435,0,510
38945,0,408
39353,0,204
39557,0,102
39659,0,306
39965,0,102
40067,0,306
40373,0,817
41190,0,204
41394,0,102
41496,0,306
41802,0,102
41904,0,306
42210,0,408
42618,0,409
43027,0,102
43129,0,306
43435,0,102
43537,0,408
43945,0,102
44047,0,306
44353,0,102
44455,0,204
44659,0,102
44761,0,306
45067,0,102
45169,0,307
45476,0,102
45578,0,306
45884,0,102
45986,0,102
46088,0,204
46292,0,102
46394,0,306
46700,0,102
46802,0,918
47720,0,205
47925,0,204
48129,0,102
48231,0,306
48537,0,204
48741,0,204
48945,0,102
49047,0,204
49251,0,102
49353,0,204
49557,0,102
49659,0,204
49863,0,102
49965,0,204
50169,0,102
50271,0,205
50476,0,204
50680,0,102
50782,0,204
50986,0,102
51088,0,714
51802,0,816
52618,0,307
52925,0,306
53231,0,408
53639,0,204
53843,0,408
54251,0,102
54353,0,306
54659,0,204
54863,0,102
54965,0,306
55271,0,102
55373,0,307
55680,0,408
56088,0,408
56496,0,204
56700,0,204
56904,0,204
57108,0,408
57516,0,102
57618,0,307
57925,0,408
58333,0,204
58537,0,204
58741,0,408
59149,0,102
59251,0,306
59557,0,204
59761,0,204
59965,0,102
60067,0,306
60373,0,205
60578,0,408
60986,0,204
61190,0,408
61598,0,102
61700,0,306
62006,0,408
62414,0,102
62516,0,306
62822,0,307
63129,0,102
63231,0,204
63435,0,204
63639,0,204
63843,0,357
64200,0,153
64353,0,102
64455,0,306
64761,0,306
65067,0,204
65271,0,205
65476,0,1836
67312,0,408
67720,0,102
67822,0,307
68129,0,408
68537,0,408
68945,0,408
69353,0,408
69761,0,102
69863,0,306
70169,0,409
70578,0,102
70680,0,204
70884,0,102
70986,0,408
71394,0,204
71598,0,204
71802,0,510
72312,0,102
72414,0,204
72618,0,204
72822,0,205
73027,0,408
73435,0,408
73843,0,204
74047,0,204
74251,0,204
74455,0,204
74659,0,204
74863,0,204
75067,0,409
75476,0,408
75884,0,306
76190,0,102
76292,0,204
76496,0,102
76598,0,306
76904,0,510
77414,0,102
77516,0,409
77925,0,408
78333,0,306
78639,0,1122
79761,0,102
79863,0,306
80169,0,204
80373,0,103
80476,0,204
80680,0,102
80782,0,204
80986,0,102
81088,0,204
81292,0,306
81598,0,306
81904,0,102
82006,0,204
82210,0,102
82312,0,306
82618,0,102
82720,0,205
82925,0,306
83231,0,306
83537,0,102
83639,0,204
83843,0,102
83945,0,306
84251,0,102
84353,0,204
84557,0,204
84761,0,102
84863,0,204
85067,0,204
85271,0,205
85476,0,102
85578,0,306
85884,0,204
86088,0,204
86292,0,204
86496,0,204
86700,0,102
86802,0,204
87006,0,204
87210,0,102
87312,0,408
87720,0,102
87822,0,307
88129,0,204
88333,0,204
88537,0,204
88741,0,102
8741,1,306
9047,1,612
9659,1,408
10067,1,409
10476,1,408
10884,1,408
11292,1,408
11700,1,306
12006,1,306
12312,1,408
12720,1,307
13027,1,306
13333,1,510
13843,1,408
14251,1,408
14659,1,204
14863,1,408
15271,1,511
15782,1,306
16088,1,510
16598,1,408
17006,1,408
17414,1,408
17822,1,307
18129,1,408
18537,1,204
18741,1,306
19047,1,306
19353,1,204
19557,1,306
19863,1,408
20271,1,205
20476,1,204
20680,1,306
20986,1,816
21802,1,306
22108,1,204
22312,1,306
22618,1,204
22822,1,307
23129,1,408
23537,1,918
24455,1,408
24863,1,613
25476,1,1020
26496,1,306
26802,1,612
27414,1,306
27720,1,409
28129,1,306
28435,1,306
28741,1,408
29149,1,204
29353,1,102
29455,1,306
29761,1,204
29965,1,204
30169,1,102
30271,1,307
30578,1,102
30680,1,714
31394,1,204
31598,1,204
31802,1,204
32006,1,204
32210,1,102
32312,1,306
32618,1,102
32720,1,307
33027,1,306
33333,1,306
33639,1,204
33843,1,816
34659,1,204
34863,1,204
35067,1,204
35271,1,205
35476,1,204
35680,1,102
35782,1,510
36292,1,204
36496,1,204
36700,1,204
36904,1,204
37108,1,408
37516,1,409
37925,1,204
38129,1,204
38333,1,204
38537,1,204
38741,1,102
38843,1,306
39149,1,102
39251,1,306
39557,1,204
39761,1,204
39965,1,204
40169,1,204
40373,1,817
41190,1,204
41394,1,204
41598,1,204
41802,1,204
42006,1,204
42210,1,102
42312,1,510
42822,1,205
43027,1,204
43231,1,204
43435,1,204
43639,1,204
43843,1,306
44149,1,102
44251,1,204
44455,1,204
44659,1,204
44863,1,204
45067,1,204
45271,1,205
45476,1,408
45884,1,102
45986,1,102
46088,1,204
46292,1,204
46496,1,204
46700,1,204
46904,1,816
47720,1,205
47925,1,204
48129,1,102
48231,1,204
48435,1,102
48537,1,204
48741,1,204
48945,1,102
49047,1,306
49353,1,204
49557,1,204
49761,1,204
49965,1,204
50169,1,307
50476,1,102
50578,1,204
50782,1,204
50986,1,204
51190,1,204
51394,1,102
51496,1,408
51904,1,204
52108,1,510
52618,1,307
52925,1,306
53231,1,408
53639,1,204
53843,1,408
54251,1,204
54455,1,204
54659,1,408
55067,1,204
55271,1,205
55476,1,408
55884,1,102
55986,1,306
56292,1,306
56598,1,204
56802,1,204
57006,1,102
57108,1,408
57516,1,204
57720,1,205
57925,1,306
58231,1,102
58333,1,204
58537,1,204
58741,1,204
58945,1,204
59149,1,204
59353,1,204
59557,1,204
59761,1,102
59863,1,408
60271,1,154
60425,1,357
60782,1,408
61190,1,204
61394,1,204
61598,1,306
61904,1,102
62006,1,204
62210,1,204
62414,1,204
62618,1,204
62822,1,409
63231,1,306
63537,1,306
63843,1,306
64149,1,153
64302,1,153
64455,1,204
64659,1,204
64863,1,102
64965,1,204
65169,1,511
65680,1,1224
66904,1,510
67414,1,102
67516,1,204
67720,1,307
68027,1,102
68129,1,204
68333,1,204
68537,1,408
68945,1,204
69149,1,510
69659,1,102
69761,1,204
69965,1,204
70169,1,204
70373,1,409
70782,1,204
70986,1,204
71190,1,204
71394,1,102
71496,1,204
71700,1,306
72006,1,306
72312,1,102
72414,1,204
72618,1,307
72925,1,204
73129,1,204
73333,1,510
73843,1,102
73945,1,306
74251,1,306
74557,1,102
74659,1,306
74965,1,306
75271,1,205
75476,1,204
75680,1,102
75782,1,306
76088,1,204
76292,1,204
76496,1,204
76700,1,204
76904,1,510
77414,1,204
77618,1,102
77720,1,409
78129,1,204
78333,1,612
78945,1,816
79761,1,102
79863,1,306
80169,1,204
80373,1,205
80578,1,204
80782,1,408
81190,1,102
81292,1,204
81496,1,102
81598,1,204
81802,1,204
82006,1,204
82210,1,204
82414,1,408
82822,1,103
82925,1,204
83129,1,102
83231,1,204
83435,1,204
83639,1,204
83843,1,204
84047,1,408
84455,1,102
84557,1,306
84863,1,306
85169,1,102
85271,1,205
85476,1,204
85680,1,306
85986,1,102
86088,1,204
86292,1,102
86394,1,510
86904,1,102
87006,1,306
87312,1,204
87516,1,102
87618,1,204
87822,1,205
88027,1,102
88129,1,306
88435,1,102
88537,1,204
88741,1,204
88945,1,204
2618,2,1633
4251,2,1633
5884,2,1632
7516,2,1123
8639,2,204
8843,2,306
9149,2,306
9455,2,510
9965,2,408
10373,2,409
10782,2,204
10986,2,204
11190,2,306
11496,2,612
12108,2,306
12414,2,408
12822,2,307
13129,2,408
13537,2,510
14047,2,306
14353,2,408
14761,2,408
15169,2,307
15476,2,204
15680,2,306
15986,2,306
16292,2,204
16496,2,408
16904,2,408
17312,2,306
17618,2,409
18027,2,408
18435,2,510
18945,2,306
19251,2,408
19659,2,408
20067,2,358
20425,2,153
20578,2,306
20884,2,306
21190,2,255
21445,2,255
21700,2,510
22210,2,306
22516,2,409
22925,2,408
23333,2,510
23843,2,1020
24863,2,613
25476,2,816
26292,2,510
26802,2,306
27108,2,612
27720,2,613
28333,2,204
28537,2,204
28741,2,102
28843,2,510
29353,2,408
29761,2,204
29965,2,204
30169,2,409
30578,2,204
30782,2,102
30884,2,510
31394,2,306
31700,2,306
32006,2,204
32210,2,408
32618,2,204
32822,2,103
32925,2,306
33231,2,204
33435,2,204
33639,2,102
33741,2,918
34659,2,306
34965,2,306
35271,2,205
35476,2,102
35578,2,510
36088,2,204
36292,2,204
36496,2,204
36700,2,102
36802,2,510
37312,2,613
37925,2,306
38231,2,306
38537,2,204
38741,2,408
39149,2,204
39353,2,102
39455,2,408
39863,2,306
40169,2,102
40271,2,919
41190,2,306
41496,2,306
41802,2,204
42006,2,510
42516,2,102
42618,2,204
42822,2,103
42925,2,204
43129,2,306
43435,2,204
43639,2,204
43843,2,408
44251,2,510
44761,2,306
45067,2,204
45271,2,102
45373,2,205
45578,2,102
45680,2,102
45782,2,306
46088,2,102
46190,2,204
46394,2,306
46700,2,204
46904,2,306
47210,2,306
47516,2,306
47822,2,205
48027,2,102
48129,2,204
48333,2,204
48537,2,102
48639,2,306
48945,2,204
49149,2,204
49353,2,102
49455,2,306
49761,2,102
49863,2,204
50067,2,102
50169,2,204
50373,2,205
50578,2,306
50884,2,102
50986,2,612
51598,2,102
51700,2,714
52414,2,102
52516,2,306
52822,2,307
53129,2,306
53435,2,612
54047,2,102
54149,2,306
54455,2,102
54557,2,510
55067,2,102
55169,2,307
55476,2,204
55680,2,204
55884,2,204
56088,2,204
56292,2,306
56598,2,102
56700,2,306
57006,2,510
57516,2,204
57720,2,102
57822,2,307
58129,2,204
58333,2,102
58435,2,204
58639,2,510
59149,2,204
59353,2,204
59557,2,272
59829,2,136
59965,2,306
60271,2,102
60373,2,103
60476,2,306
60782,2,204
60986,2,408
61394,2,102
61496,2,306
61802,2,204
62006,2,408
62414,2,204
62618,2,204
62822,2,205
63027,2,204
63231,2,102
63333,2,306
63639,2,459
64098,2,153
64251,2,204
64455,2,408
64863,2,306
65169,2,102
65271,2,205
65476,2,204
65680,2,1632
67312,2,408
67720,2,409
68129,2,102
68231,2,204
68435,2,510
68945,2,102
69047,2,306
69353,2,204
69557,2,204
69761,2,306
70067,2,511
70578,2,204
70782,2,204
70986,2,408
71394,2,306
71700,2,102
71802,2,408
72210,2,715
72925,2,102
73027,2,204
73231,2,204
73435,2,204
73639,2,408
74047,2,204
74251,2,102
