Offset,Density
0,0
1000,0.000666667
2000,0.00133333
3000,0.00133333
4000,0.00133333
5000,0.00133333
6000,0.000666667
7000,0.000666667
8000,0.00666667
9000,0.01
10000,0.01
11000,0.00933333
12000,0.01
13000,0.01
14000,0.01
15000,0.0113333
16000,0.01
17000,0.01
18000,0.0113333
19000,0.012
20000,0.0133333
21000,0.0106667
22000,0.0113333
23000,0.008
24000,0.00666667
25000,0.006
26000,0.01
27000,0.012
28000,0.016
29000,0.0166667
30000,0.014
31000,0.014
32000,0.0173333
33000,0.012
34000,0.012
35000,0.0173333
36000,0.016
37000,0.0133333
38000,0.016
39000,0.0166667
40000,0.0113333
41000,0.0166667
42000,0.018
43000,0.018
44000,0.0173333
45000,0.0213333
46000,0.014
47000,0.0133333
48000,0.0226667
49000,0.022
50000,0.0186667
51000,0.008
52000,0.012
53000,0.0146667
54000,0.018
55000,0.0173333
56000,0.0146667
57000,0.0173333
58000,0.0173333
59000,0.018
60000,0.014
61000,0.0146667
62000,0.0173333
63000,0.0193333
64000,0.0186667
65000,0.008
66000,0.00333333
67000,0.014
68000,0.0153333
69000,0.0153333
70000,0.0173333
71000,0.0153333
72000,0.0173333
73000,0.016
74000,0.0173333
75000,0.0173333
76000,0.0166667
77000,0.0146667
78000,0.008
79000,0.014
80000,0.0193333
81000,0.02
82000,0.02
83000,0.02
84000,0.02
85000,0.0213333
86000,0.0186667
87000,0.0193333
88000,0.0146667
89000,0.000666667
