Offset,Column,Delta
590,0,1200
1790,0,1200
2990,0,750
3740,0,450
4190,0,1350
5540,0,262
5802,0,188
5990,0,825
6815,0,150
6965,0,525
7490,0,300
7790,0,300
8090,0,525
8615,0,150
8765,0,1125
9890,0,1200
11090,0,300
11390,0,300
11690,0,150
11840,0,300
12140,0,150
12290,0,300
12590,0,300
12890,0,150
13040,0,300
13340,0,150
13490,0,300
13790,0,300
14090,0,600
14690,0,300
14990,0,300
15290,0,300
15590,0,450
16040,0,150
16190,0,300
16490,0,150
16640,0,300
16940,0,150
17090,0,300
17390,0,300
17690,0,150
17840,0,300
18140,0,150
18290,0,300
18590,0,300
18890,0,600
19490,0,300
19790,0,300
20090,0,150
20240,0,225
20465,0,225
20690,0,300
20990,0,200
21190,0,175
21365,0,225
21590,0,450
22040,0,300
22340,0,750
23090,0,1350
24440,0,300
24740,0,1050
25790,0,300
26090,0,600
26690,0,300
26990,0,225
27215,0,675
27890,0,525
28415,0,450
28865,0,375
29240,0,150
29390,0,225
29615,0,675
30290,0,300
30590,0,300
30890,0,300
31190,0,300
31490,0,300
31790,0,225
32015,0,450
32465,0,525
32990,0,300
33290,0,300
33590,0,300
33890,0,150
34040,0,450
34490,0,600
35090,0,150
35240,0,600
35840,0,150
35990,0,600
36590,0,225
36815,0,375
37190,0,300
37490,0,150
37640,0,150
37790,0,225
38015,0,225
38240,0,300
38540,0,300
38840,0,150
38990,0,225
39215,0,225
39440,0,150
39590,0,150
39740,0,225
39965,0,150
40115,0,300
40415,0,300
40715,0,375
41090,0,300
41390,0,225
41615,0,375
41990,0,300
42290,0,150
42440,0,150
42590,0,225
42815,0,225
43040,0,300
43340,0,300
43640,0,150
43790,0,225
44015,0,225
44240,0,150
44390,0,150
44540,0,150
44690,0,300
44990,0,150
45140,0,150
45290,0,150
45440,0,300
45740,0,450
46190,0,200
46390,0,175
46565,0,225
46790,0,450
47240,0,300
47540,0,750
48290,0,1350
49640,0,300
49940,0,1050
50990,0,225
51215,0,375
51590,0,225
51815,0,375
52190,0,225
52415,0,150
52565,0,525
53090,0,300
53390,0,225
53615,0,450
54065,0,375
54440,0,150
54590,0,225
54815,0,150
54965,0,225
55190,0,300
55490,0,300
55790,0,300
56090,0,150
56240,0,450
56690,0,150
56840,0,150
56990,0,225
57215,0,150
57365,0,300
57665,0,525
58190,0,300
58490,0,300
58790,0,300
59090,0,300
59390,0,300
59690,0,600
60290,0,150
60440,0,750
61190,0,300
61490,0,150
61640,0,150
61790,0,300
62090,0,600
62690,0,300
62990,0,150
63140,0,75
63215,0,75
63290,0,150
63440,0,150
63590,0,600
64190,0,300
64490,0,600
65090,0,300
65390,0,75
65465,0,1125
66590,0,2100
68690,0,300
68990,0,300
69290,0,150
69440,0,150
69590,0,300
69890,0,150
70040,0,150
70190,0,150
70340,0,300
70640,0,600
71240,0,150
71390,0,4800
76190,0,4500
80690,0,5100
85790,0,825
86615,0,375
86990,0,825
87815,0,150
87965,0,225
88190,0,150
88340,0,450
88790,0,300
89090,0,300
89390,0,300
89690,0,150
89840,0,150
89990,0,300
90290,0,150
90440,0,150
90590,0,150
90740,0,750
91490,0,450
91940,0,150
92090,0,225
92315,0,375
92690,0,300
92990,0,150
93140,0,225
93365,0,225
93590,0,375
93965,0,225
94190,0,300
94490,0,450
94940,0,150
95090,0,300
95390,0,225
95615,0,225
95840,0,150
95990,0,150
96140,0,225
96365,0,150
96515,0,112
96627,0,263
96890,0,225
97115,0,262
97377,0,488
97865,0,150
98015,0,225
98240,0,225
98465,0,225
98690,0,300
98990,0,150
99140,0,150
99290,0,375
99665,0,375
100040,0,425
100465,0,400
100865,0,225
101090,0,300
101390,0,300
101690,0,450
102140,0,150
102290,0,300
102590,0,300
102890,0,150
103040,0,225
103265,0,225
103490,0,300
103790,0,150
103940,0,150
104090,0,150
104240,0,450
104690,0,300
104990,0,200
105190,0,100
105290,0,225
105515,0,225
105740,0,150
105890,0,262
106152,0,188
106340,0,150
106490,0,450
106940,0,150
107090,0,300
107390,0,300
107690,0,300
107990,0,150
108140,0,150
108290,0,375
108665,0,150
108815,0,375
109190,0,150
109340,0,150
109490,0,500
109990,0,100
110090,0,225
110315,0,225
110540,0,225
110765,0,225
110990,0,300
111290,0,300
111590,0,150
111740,0,150
111890,0,300
112190,0,300
112490,0,150
112640,0,375
113015,0,375
113390,0,150
113540,0,150
113690,0,450
114140,0,150
114290,0,300
114590,0,300
114890,0,150
115040,0,300
115340,0,300
115640,0,150
115790,0,300
116090,0,225
116315,0,225
116540,0,150
116690,0,300
116990,0,225
117215,0,225
117440,0,450
117890,0,300
118190,0,150
118340,0,300
118640,0,300
118940,0,150
119090,0,225
119315,0,225
119540,0,150
119690,0,225
119915,0,225
120140,0,300
120440,0,150
120590,0,300
120890,0,300
121190,0,187
121377,0,413
121790,0,300
122090,0,375
122465,0,225
122690,0,300
122990,0,150
123140,0,300
123440,0,300
123740,0,450
124190,0,275
124465,0,325
124790,0,150
124940,0,150
125090,0,300
125390,0,150
125540,0,150
125690,0,300
125990,0,375
126365,0,375
126740,0,150
126890,0,375
127265,0,225
127490,0,300
127790,0,300
128090,0,300
128390,0,150
128540,0,150
128690,0,1500
130190,0,1200
131390,0,300
131690,0,300
131990,0,600
132590,0,225
132815,0,375
133190,0,250
133440,0,350
