Offset,Density
0,0.006
1000,0.0153333
2000,0.0153333
3000,0.0133333
4000,0.0186667
5000,0.0213333
6000,0.0186667
7000,0.0206667
8000,0.0186667
9000,0.016
10000,0.0206667
11000,0.0273333
12000,0.03
13000,0.0286667
14000,0.028
15000,0.0266667
16000,0.0286667
17000,0.0293333
18000,0.0286667
19000,0.0293333
20000,0.0273333
21000,0.0193333
22000,0.014
23000,0.0133333
24000,0.016
25000,0.0193333
26000,0.0273333
27000,0.0253333
28000,0.026
29000,0.0266667
30000,0.028
31000,0.0266667
32000,0.028
33000,0.0266667
34000,0.0293333
35000,0.0253333
36000,0.0246667
37000,0.03
38000,0.0326667
39000,0.0313333
40000,0.0273333
41000,0.0293333
42000,0.03
43000,0.0333333
44000,0.034
45000,0.026
46000,0.0193333
47000,0.014
48000,0.014
49000,0.0153333
50000,0.0206667
51000,0.028
52000,0.0266667
53000,0.0306667
54000,0.0293333
55000,0.0273333
56000,0.0293333
57000,0.028
58000,0.0306667
59000,0.0226667
60000,0.018
61000,0.02
62000,0.02
63000,0.0173333
64000,0.0206667
65000,0.022
66000,0.02
67000,0.012
68000,0.018
69000,0.0326667
70000,0.03
71000,0.014
72000,0.00333333
73000,0.00333333
74000,0.00133333
75000,0.002
76000,0.00466667
77000,0.004
78000,0.00266667
79000,0.002
80000,0.004
81000,0.00266667
82000,0.004
83000,0.004
84000,0.00133333
85000,0.014
86000,0.024
87000,0.0253333
88000,0.0273333
89000,0.034
90000,0.0206667
91000,0.02
92000,0.0306667
93000,0.0326667
94000,0.0326667
95000,0.0326667
96000,0.0326667
97000,0.032
98000,0.032
99000,0.032
100000,0.0313333
101000,0.032
102000,0.0313333
103000,0.032
104000,0.0306667
105000,0.0326667
106000,0.0333333
107000,0.032
108000,0.0326667
109000,0.0306667
110000,0.032
111000,0.0306667
112000,0.03
113000,0.0286667
114000,0.0313333
115000,0.0313333
116000,0.0326667
117000,0.0306667
118000,0.03
119000,0.03
120000,0.0293333
121000,0.0286667
122000,0.028
123000,0.0293333
124000,0.0306667
125000,0.0333333
126000,0.0306667
127000,0.03
128000,0.0253333
129000,0.018
130000,0.0106667
131000,0.0106667
132000,0.0173333
133000,0.018
134000,0.0153333
135000,0.02
136000,0.012
137000,0.0206667
138000,0.0153333
139000,0.0213333
140000,0.03
141000,0.03
142000,0.03
143000,0.0293333
144000,0.03
145000,0.03
146000,0.03
147000,0.0293333
148000,0.028
149000,0.0213333
150000,0.0206667
151000,0.0173333
152000,0.0146667
153000,0.0153333
154000,0.0133333
155000,0.01
156000,0.0213333
157000,0.0253333
158000,0.024
159000,0.0246667
160000,0.0273333
161000,0.0266667
162000,0.0266667
163000,0.028
164000,0.028
165000,0.0273333
166000,0.03
167000,0.0286667
168000,0.0286667
169000,0.028
170000,0.0306667
171000,0.0273333
172000,0.03
173000,0.0293333
174000,0.0266667
175000,0.0306667
176000,0.0306667
177000,0.0286667
178000,0.028
179000,0.03
180000,0.0313333
181000,0.03
182000,0.0286667
183000,0.0306667
184000,0.03
185000,0.03
186000,0.0293333
187000,0.0306667
188000,0.026
189000,0.0266667
190000,0.03
191000,0.0306667
192000,0.0313333
193000,0.0293333
194000,0.032
195000,0.0313333
196000,0.032
197000,0.0306667
198000,0.0293333
199000,0.032
200000,0.03
201000,0.0313333
202000,0.0333333
203000,0.0186667
204000,0.00933333
205000,0.00933333
206000,0.01
207000,0.00933333
208000,0.0126667
209000,0.0133333
210000,0.0126667
211000,0.0166667
212000,0.0193333
213000,0.0133333
214000,0.0126667
215000,0.014
216000,0.016
217000,0.0166667
218000,0.0153333
219000,0.0133333
220000,0.00866667
221000,0.0106667
222000,0.0193333
223000,0.014
224000,0.0146667
225000,0.018
226000,0.0193333
227000,0.0193333
228000,0.0226667
229000,0.024
230000,0.0206667
231000,0.0233333
232000,0.0233333
233000,0.0166667
234000,0.02
235000,0.03
236000,0.028
237000,0.0293333
238000,0.0306667
239000,0.0286667
240000,0.0273333
241000,0.0286667
242000,0.0286667
243000,0.0286667
244000,0.0293333
245000,0.028
246000,0.03
247000,0.03
248000,0.0286667
249000,0.0286667
250000,0.028
251000,0.0286667
252000,0.0233333
253000,0.0133333
254000,0.0153333
255000,0.0193333
256000,0.0233333
257000,0.0186667
258000,0.016
259000,0.0193333
260000,0.0266667
261000,0.0253333
262000,0.0213333
263000,0.0253333
264000,0.01
265000,0.00533333
266000,0.00666667
267000,0.00666667
268000,0.00666667
269000,0.00866667
270000,0.008
271000,0.01
272000,0.0106667
273000,0.0106667
274000,0.0113333
275000,0.0133333
276000,0.0126667
277000,0.014
278000,0.016
279000,0.014
280000,0.0153333
281000,0.0153333
282000,0.018
283000,0.022
284000,0.0173333
285000,0.0213333
286000,0.0246667
287000,0.0233333
288000,0.026
289000,0.0266667
290000,0.0266667
291000,0.026
292000,0.0273333
293000,0.0266667
294000,0.0233333
295000,0.0226667
296000,0.022
297000,0.022
298000,0.026
299000,0.0266667
300000,0.0266667
301000,0.0273333
302000,0.028
303000,0.0233333
304000,0.016
305000,0.0133333
306000,0.016
307000,0.018
308000,0.0173333
309000,0.00266667
310000,0.004
311000,0.004
312000,0.00133333
313000,0.00933333
314000,0.016
315000,0.0186667
316000,0.024
317000,0.0373333
318000,0.0266667
319000,0.0266667
320000,0.0353333
321000,0.04
322000,0.04
323000,0.04
324000,0.04
325000,0.0393333
326000,0.038
327000,0.0306667
328000,0.0313333
329000,0.0333333
330000,0.0326667
331000,0.0306667
332000,0.0293333
333000,0.03
334000,0.0326667
335000,0.0306667
336000,0.032
337000,0.032
338000,0.034
339000,0.0333333
340000,0.0306667
341000,0.0286667
342000,0.0313333
343000,0.0306667
344000,0.0313333
345000,0.0333333
346000,0.0306667
347000,0.032
348000,0.0333333
349000,0.0326667
350000,0.0293333
351000,0.0313333
352000,0.0346667
353000,0.0353333
354000,0.0346667
355000,0.0326667
356000,0.034
357000,0.0346667
358000,0.0366667
359000,0.034
360000,0.0333333
361000,0.0373333
362000,0.036
363000,0.0353333
364000,0.04
365000,0.014
366000,0
367000,0
368000,0
369000,0.00133333
370000,0.00266667
371000,0.00133333
372000,0.01
373000,0.0173333
374000,0.0173333
