Offset,K1,K2,K3,K4,K5,K6,K7
1017,0,0,1,0,0,0,0
1021,1,0,1,0,0,0,0
1049,1,0,0,0,0,0,0
1053,0,0,0,0,0,0,0
1115,0,0,1,0,0,0,0
1128,1,0,1,0,0,0,0
1168,0,0,1,0,0,0,0
1173,0,0,0,0,0,0,0
1249,0,0,1,0,0,0,0
1262,1,0,1,0,0,0,0
1316,1,0,0,0,0,0,0
1326,0,0,0,0,0,0,0
2294,0,0,1,0,0,0,0
2359,0,0,0,0,0,0,0
2718,0,0,0,1,0,0,0
2805,0,0,0,0,0,0,0
3124,0,0,0,0,1,0,0
3422,0,0,0,0,0,0,0
3652,0,0,0,0,0,1,0
3790,0,0,0,0,0,0,0
4119,0,1,0,0,0,0,0
4121,0,1,0,0,0,0,1
4125,0,1,0,1,0,0,1
4199,0,1,0,1,0,0,0
4204,0,1,0,0,0,0,0
5064,0,0,1,0,1,0,1
5135,0,0,1,0,0,0,1
5151,0,0,0,0,0,0,1
6016,0,1,0,0,0,0,1
6034,0,1,0,1,0,0,1
6035,0,1,0,1,0,1,1
6053,0,1,0,1,0,1,0
6131,0,1,0,1,0,0,0
6139,0,1,0,0,0,0,0
6974,0,0,0,0,0,0,0
6984,0,0,1,0,0,0,1
6993,0,0,1,0,1,0,1
7074,0,0,1,0,0,0,1
7174,0,0,0,0,0,0,1
7931,0,1,0,0,0,0,1
7939,0,1,0,1,0,1,1
7951,0,1,0,1,0,1,0
8089,0,1,0,0,0,1,0
8095,0,1,0,0,0,0,0
8865,0,0,0,0,0,0,0
8894,0,0,1,0,0,0,0
8969,0,0,0,0,0,0,0
9370,0,1,0,0,0,0,0
9545,0,0,0,0,0,0,0
9876,1,0,0,0,0,0,0
10133,0,0,0,0,0,0,0
10951,0,0,0,0,1,0,0
11223,0,0,0,0,0,0,0
12132,1,0,0,0,0,0,0
12145,1,0,0,0,0,0,1
12193,1,0,1,0,0,0,1
12203,0,0,1,0,0,0,1
12206,0,0,1,0,0,0,0
12251,0,0,0,0,0,0,0
12258,0,0,0,1,0,0,0
12326,0,0,0,1,1,0,0
12336,0,0,0,0,1,0,0
12389,0,1,0,0,1,0,0
12396,0,1,0,0,1,0,1
12416,0,1,0,0,0,1,1
12449,0,1,0,0,0,0,1
12460,0,0,0,0,0,0,1
12471,0,0,0,0,0,0,0
13236,0,0,0,0,0,1,0
13677,0,0,0,0,1,1,0
14122,0,0,0,1,1,1,0
14986,0,0,1,1,1,1,0
15835,0,1,0,1,1,1,0
15839,1,1,0,1,1,1,0
15848,1,1,0,0,0,0,0
16153,0,1,0,0,0,0,0
16155,0,0,0,0,0,0,0
16385,0,0,0,0,1,0,0
16555,0,0,0,0,0,0,0
16860,0,0,0,0,1,0,0
16919,0,0,1,0,1,0,0
16934,0,0,1,0,1,0,1
16946,0,0,1,0,0,0,1
17260,0,0,1,0,0,0,0
17290,0,0,0,0,0,0,0
17950,0,1,0,0,0,0,0
17953,0,1,0,0,0,1,0
17954,0,1,0,1,0,1,0
18104,0,1,0,1,0,0,0
18105,0,1,0,0,0,0,0
18113,0,0,0,0,0,0,0
21745,0,0,0,0,0,0,1
21746,0,0,0,1,0,0,1
21755,1,0,0,1,0,0,1
21799,1,0,0,1,0,0,0
21814,1,0,0,0,0,0,0
21820,0,0,0,0,0,0,0
21905,0,0,0,0,0,1,0
21959,0,0,0,0,1,1,0
21969,0,0,0,0,1,0,0
22001,0,0,0,0,0,0,0
22003,0,1,0,0,0,0,0
22061,0,0,0,0,0,0,0
22078,0,0,0,1,0,0,0
22143,0,0,0,0,0,0,0
22231,0,0,0,0,0,1,0
22302,0,0,0,0,1,1,0
