Loading Map Settings: 
Skipped : osu file format v14
Skipped : 0,0,"bg.png",0,0
Setting Beatmap Settings...
Complete!
Loading Timing Points: Complete!
Loading Hit Objects: Complete!
COL	|	OFFSET	|	VARIANCE
0	|	13283	|	474	
0	|	13757	|	237	
0	|	13994	|	237	
0	|	14231	|	315	
0	|	14546	|	316	
0	|	14862	|	158	
0	|	15020	|	158	
0	|	15178	|	316	
0	|	15494	|	237	
0	|	15731	|	552	
0	|	16283	|	316	
0	|	16599	|	237	
0	|	16836	|	237	
0	|	17073	|	395	
0	|	17468	|	394	
0	|	17862	|	158	
0	|	18020	|	316	
0	|	18336	|	316	
0	|	18652	|	158	
0	|	18810	|	158	
0	|	18968	|	315	
0	|	19283	|	237	
0	|	19520	|	316	
0	|	19836	|	237	
0	|	20073	|	158	
0	|	20231	|	237	
0	|	20468	|	315	
0	|	20783	|	711	
0	|	21494	|	395	
0	|	21889	|	315	
0	|	22204	|	237	
0	|	22441	|	237	
0	|	22678	|	395	
0	|	23073	|	237	
0	|	23310	|	236	
0	|	23546	|	158	
0	|	23704	|	158	
0	|	23862	|	395	
0	|	24257	|	158	
0	|	24415	|	316	
0	|	24731	|	237	
0	|	24968	|	394	
0	|	25362	|	237	
0	|	25599	|	237	
0	|	25836	|	395	
0	|	26231	|	315	
0	|	26546	|	316	
0	|	26862	|	237	
0	|	27099	|	158	
0	|	27257	|	237	
0	|	27494	|	158	
0	|	27652	|	237	
0	|	27889	|	236	
0	|	28125	|	237	
0	|	28362	|	395	
0	|	28757	|	158	
0	|	28915	|	158	
0	|	29073	|	237	
0	|	29310	|	197	
0	|	29507	|	197	
0	|	29704	|	316	
0	|	30020	|	316	
0	|	30336	|	237	
0	|	30573	|	158	
0	|	30731	|	237	
0	|	30968	|	236	
0	|	31204	|	395	
0	|	31599	|	237	
0	|	31836	|	158	
0	|	31994	|	237	
0	|	32231	|	315	
0	|	32546	|	316	
0	|	32862	|	158	
0	|	33020	|	316	
0	|	33336	|	158	
0	|	33494	|	316	
0	|	33810	|	158	
0	|	33968	|	78	
0	|	34046	|	237	
0	|	34283	|	158	
0	|	34441	|	237	
0	|	34678	|	395	
0	|	35073	|	316	
0	|	35389	|	315	
0	|	35704	|	158	
0	|	35862	|	237	
0	|	36099	|	237	
0	|	36336	|	158	
0	|	36494	|	79	
0	|	36573	|	473	
0	|	37046	|	237	
0	|	37283	|	474	
0	|	37757	|	79	
0	|	37836	|	158	
0	|	37994	|	237	
0	|	38231	|	315	
0	|	38546	|	316	
0	|	38862	|	158	
0	|	39020	|	79	
0	|	39099	|	395	
0	|	39494	|	158	
0	|	39652	|	79	
0	|	39731	|	158	
0	|	39889	|	236	
0	|	40125	|	158	
0	|	40283	|	79	
0	|	40362	|	158	
0	|	40520	|	237	
0	|	40757	|	158	
0	|	40915	|	79	
0	|	40994	|	395	
0	|	41389	|	315	
0	|	41704	|	316	
0	|	42020	|	158	
0	|	42178	|	158	
0	|	42336	|	316	
0	|	42652	|	158	
0	|	42810	|	158	
0	|	42968	|	315	
0	|	43283	|	158	
0	|	43441	|	158	
0	|	43599	|	316	
0	|	43915	|	237	
0	|	44152	|	158	
0	|	44310	|	236	
0	|	44546	|	237	
0	|	44783	|	158	
0	|	44941	|	237	
0	|	45178	|	237	
0	|	45415	|	158	
0	|	45573	|	237	
0	|	45810	|	236	
0	|	46046	|	158	
0	|	46204	|	237	
0	|	46441	|	237	
0	|	46678	|	158	
0	|	46836	|	237	
0	|	47073	|	237	
0	|	47310	|	158	
0	|	47468	|	236	
0	|	47704	|	237	
0	|	47941	|	158	
0	|	48099	|	237	
0	|	48336	|	237	
0	|	48573	|	158	
0	|	48731	|	197	
0	|	48928	|	197	
0	|	49125	|	158	
0	|	49283	|	395	
0	|	49678	|	237	
0	|	49915	|	237	
0	|	50152	|	158	
0	|	50310	|	236	
