Offset,Column,Delta
590,0,1200
1790,0,1200
2990,0,750
3740,0,450
4190,0,1350
5540,0,262
5802,0,188
5990,0,825
6815,0,150
6965,0,525
7490,0,300
7790,0,300
8090,0,525
8615,0,150
8765,0,1125
9890,0,1200
11090,0,300
11390,0,300
11690,0,150
11840,0,300
12140,0,150
12290,0,300
12590,0,300
12890,0,150
13040,0,300
13340,0,150
13490,0,300
13790,0,300
14090,0,600
14690,0,300
14990,0,300
15290,0,300
15590,0,450
16040,0,150
16190,0,300
16490,0,150
16640,0,300
16940,0,150
17090,0,300
17390,0,300
17690,0,150
17840,0,300
18140,0,150
18290,0,300
18590,0,300
18890,0,600
19490,0,300
19790,0,300
20090,0,150
20240,0,225
20465,0,225
20690,0,300
20990,0,200
21190,0,175
21365,0,225
21590,0,450
22040,0,300
22340,0,750
23090,0,1350
24440,0,300
24740,0,1050
25790,0,300
26090,0,600
26690,0,300
26990,0,225
27215,0,675
27890,0,525
28415,0,450
28865,0,375
29240,0,150
29390,0,225
1340,1,450
1790,1,525
2315,1,150
2465,1,450
2915,1,600
3515,1,150
3665,1,525
4190,1,525
4715,1,150
4865,1,525
5390,1,150
5540,1,150
5690,1,150
5840,1,750
6590,1,525
7115,1,150
7265,1,525
7790,1,525
8315,1,150
8465,1,975
9440,1,450
9890,1,150
10040,1,1050
11090,1,225
11315,1,375
11690,1,300
11990,1,300
12290,1,150
12440,1,150
12590,1,300
12890,1,300
13190,1,300
13490,1,300
13790,1,300
14090,1,225
14315,1,150
14465,1,225
14690,1,300
14990,1,150
15140,1,150
15290,1,300
15590,1,300
15890,1,150
16040,1,150
16190,1,300
16490,1,300
16790,1,300
17090,1,150
17240,1,150
17390,1,300
17690,1,300
17990,1,300
18290,1,300
18590,1,300
18890,1,225
19115,1,150
19265,1,225
19490,1,300
19790,1,300
20090,1,150
20240,1,225
20465,1,225
20690,1,350
21040,1,200
21240,1,200
21440,1,150
21590,1,200
21790,1,250
22040,1,300
22340,1,450
22790,1,750
23540,1,450
23990,1,450
24440,1,300
24740,1,525
25265,1,150
25415,1,525
25940,1,225
26165,1,225
26390,1,375
26765,1,225
26990,1,225
27215,1,150
27365,1,225
27590,1,300
27890,1,150
28040,1,225
28265,1,150
28415,1,300
28715,1,150
28865,1,225
29090,1,150
29240,1,375
29615,1,150
29765,1,225
1265,2,150
1415,2,375
1790,2,225
2015,2,150
2165,2,450
2615,2,150
2765,2,375
3140,2,300
3440,2,150
3590,2,600
4190,2,225
4415,2,150
4565,2,450
5015,2,150
5165,2,562
5727,2,150
5877,2,713
6590,2,150
6740,2,150
6890,2,525
7415,2,150
7565,2,450
8015,2,150
8165,2,525
8690,2,150
8840,2,600
9440,2,600
10040,2,1200
11240,2,225
11465,2,150
11615,2,150
11765,2,225
11990,2,225
12215,2,225
12440,2,225
12665,2,150
12815,2,225
13040,2,150
13190,2,150
13340,2,300
13640,2,225
13865,2,150
14015,2,150
14165,2,225
14390,2,225
14615,2,225
14840,2,300
15140,2,225
15365,2,150
15515,2,375
15890,2,150
16040,2,225
16265,2,150
16415,2,150
16565,2,225
16790,2,225
17015,2,225
17240,2,225
17465,2,150
17615,2,225
17840,2,150
17990,2,150
18140,2,300
18440,2,225
18665,2,150
18815,2,150
18965,2,225
19190,2,225
19415,2,225
19640,2,225
19865,2,150
20015,2,300
20315,2,150
20465,2,225
20690,2,150
20840,2,250
21090,2,200
21290,2,225
21515,2,175
21690,2,1100
22790,2,600
23390,2,150
23540,2,450
23990,2,900
24890,2,300
25190,2,150
25340,2,450
25790,2,225
26015,2,225
26240,2,225
26465,2,225
26690,2,150
26840,2,300
27140,2,300
27440,2,225
27665,2,150
27815,2,225
28040,2,150
28190,2,300
28490,2,150
28640,2,300
28940,2,225
29165,2,150
29315,2,225
29540,2,300
740,3,900
1640,3,450
2090,3,300
2390,3,300
2690,3,600
3290,3,1200
4490,3,300
4790,3,300
5090,3,300
5390,3,150
5540,3,225
5765,3,150
5915,3,525
6440,3,75
6515,3,525
7040,3,150
7190,3,525
7715,3,150
7865,3,525
8390,3,150
8540,3,1650
10190,3,150
10340,3,150
10490,3,300
10790,3,375
11165,3,225
11390,3,225
11615,3,225
11840,3,300
12140,3,375
12515,3,300
12815,3,150
12965,3,225
13190,3,225
13415,3,300
13715,3,300
14015,3,225
14240,3,300
14540,3,225
14765,3,150
14915,3,225
15140,3,300
15440,3,225
15665,3,225
15890,3,225
16115,3,300
16415,3,225
16640,3,300
16940,3,375
17315,3,300
17615,3,150
17765,3,225
17990,3,225
18215,3,300
18515,3,300
18815,3,225
19040,3,300
19340,3,225
19565,3,150
19715,3,225
19940,3,225
20165,3,225
20390,3,225
20615,3,300
20915,3,225
21140,3,750
21890,3,600
22490,3,375
22865,3,525
23390,3,900
24290,3,600
24890,3,300
25190,3,675
25865,3,225
26090,3,225
26315,3,225
26540,3,225
26765,3,150
26915,3,150
27065,3,225
27290,3,225
27515,3,225
27740,3,225
27965,3,225
28190,3,150
28340,3,450
28790,3,225
29015,3,450
29465,3,225
29690,3,225
815,4,300
1115,4,675
1790,4,150
1940,4,300
2240,4,300
2540,4,300
2840,4,1350
4190,4,150
4340,4,300
4640,4,300
4940,4,300
5240,4,300
5540,4,150
5690,4,262
5952,4,338
6290,4,300
6590,4,300
6890,4,450
